#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
76.9892,60,160776.508138,15,0,1,59,22.000000000000004,0.5954093072825314,1.4044834088523295,0.0671598023165668,1,15,20
68.303,60,160776.508156,12,0,0,60,14.4,0.5685074968394267,1.2184354192819236,0.04931515634134505,0,12,20
76.69371,60,160794.092891,15,0,3,57,19.400000000000006,0.6431678954319653,1.2742673515642173,0.07559843631701024,0,15,20
71.702225,60,160814.837792,13,0,0,60,16.200000000000003,0.6388962222186315,1.409980637939288,0.07396928683917031,0,13,20
71.80887,60,160840.521923,13,0,0,60,14.8,0.37556252065833085,0.989891516363296,0.03365947622017796,0,13,20
62.694096,60,160871.659014,10,0,0,60,16.8,0.7529451968235737,1.682916706863234,0.04789869051282942,0,10,20
75.44061,60,160886.243237,14,0,1,59,21.200000000000003,0.7497091367402313,1.4590131391712484,0.08939940404921655,0,14,20
78.53456,60,160905.977263,16,0,3,57,17.4,0.6527469755511687,1.268284676554264,0.13509216845926234,1,16,20
73.65257,60,160918.984666,14,0,1,59,18.0,0.6637175004720228,1.4686048755352932,0.09040864765109144,1,14,20
77.637505,60,160922.077743,15,0,1,59,19.4,0.46125427987172823,1.0904881857860136,0.06030602541862889,1,15,20
64.98074,60,160925.080629,11,0,1,59,15.4,0.6096332157613533,1.4084695631194442,0.06856409932141697,0,11,20
80.548416,60,160927.734982,15,0,0,60,26.600000000000005,0.7957986676795366,1.6375554206599334,0.1096286333593332,0,15,20
79.73753,60,160930.67382,16,0,4,56,17.2,0.291254524381881,0.7677928868623282,0.0275897151440442,0,16,20
64.121124,60,160930.673922,11,0,2,58,15.4,0.5794330030070713,1.4978476898720603,0.04157810686933845,0,11,20
84.80341,60,160930.673948,17,0,0,60,21.0,0.8483048790197855,1.682642122914847,0.09296729797365788,0,17,20
62.36604,60,160930.673967,10,0,1,59,16.600000000000005,0.636979388270268,1.3870618621832296,0.05424222125284907,0,10,20
62.51255,60,160949.512816,10,0,0,60,15.800000000000002,0.6537205262771935,1.535081212489585,0.06851034153631876,0,10,20
68.6018,60,160968.327678,12,0,1,59,21.400000000000002,0.9891005075074809,2.001307731892261,0.057446374742819065,0,12,20
72.05056,60,160994.345439,14,0,5,55,15.600000000000001,0.604731074453573,1.308215911677378,0.042487449819823296,0,14,20
68.16286,60,161028.389701,13,0,1,59,15.200000000000001,0.968580647605874,1.6482722753234569,0.10855239097104227,2,13,20
65.21296,60,161048.169044,11,0,0,60,16.2,0.8835166762342065,1.84436263138676,0.09912215743623973,0,11,20
78.14175,60,161067.05014,16,0,7,53,21.599999999999998,0.47915151555354285,1.0554608832759986,0.054274415782488934,1,16,20
65.76007,60,161081.350186,11,0,0,60,17.400000000000002,0.8099637027376638,1.655418153682985,0.05251351774233483,0,11,20
67.737305,60,161083.961195,12,0,1,59,15.0,0.7113509246114935,1.518541525611938,0.04449347286437797,0,12,20
